"Format","AiM CSV File"
"Session","40.863°N, 77.835°W"
"Vehicle",""
"Racer","Endurance 6_1_25"
"Championship",""
"Comment","Jacob then Zach"
"Date","Sunday, June 1, 2025"
"Time","12:39 PM"
"Sample Rate","20"
"Duration","130"
"Segment","Session"
"Beacon Markers","130"
"Segment Times","2:10.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"0.000","3.1862","5","0.0000","0.0000","-40.8712","-47.9651","0.0000","345.8626","200.0000","0.6900","10000.0000","40.86303109","-77.83459351","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.4375","4225.4497","3956.1997","1.0000","26.1000","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8500","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8000","0.0000","0.0000","177.9000","0.0000","0.1000","0.3000","0.9000","0.0000","-0.5000","0.0000","0.4000","-0.2000","1.2000","-18.5420","0.0340","11.6000","5.0400","2.5200","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2000","0.0000","0.6000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3400","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.050","3.1862","5","0.0000","0.0000","-40.8712","-47.9651","0.0000","345.8626","200.0000","0.6900","10000.0000","40.86303109","-77.83459351","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.4375","4225.4497","3956.1997","1.0000","26.1046","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3954","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8547","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8000","0.0000","0.0000","177.9000","0.0000","0.2882","0.4412","0.6176","0.0000","-0.4059","0.0000","0.3529","-0.3441","1.0078","-18.5420","0.0340","11.5986","5.0395","2.5195","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0961","0.0000","0.0000","0.0000","-0.2000","0.0000","0.6000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3400","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.100","3.1862","5","0.0000","0.0000","-40.8712","-47.9651","0.0000","345.8626","200.0000","0.6900","10000.0000","40.86303109","-77.83459351","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.2812","4225.4497","3956.1978","1.0000","26.1096","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3904","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8596","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8000","0.0000","0.0000","177.9000","0.0000","0.4843","0.5882","0.3235","0.0000","-0.3078","0.0000","0.3039","-0.4912","0.8118","-18.5420","0.0340","11.5971","5.0390","2.5190","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1941","0.0000","0.0000","0.0000","-0.1785","0.0000","0.5892","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3442","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.150","3.1907","5","-0.0449","0.0037","-41.4150","-51.7431","0.0000","346.9648","200.0000","0.6665","10000.0000","40.86302704","-77.83458938","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.0208","4225.4497","3956.1936","1.0000","26.1146","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3854","0.0000","26.3000","-1000.0000","-1000.0000","4.8745","2.0400","4.8900","4.8655","4.8600","4.8745","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8451","0.0000","0.0000","177.9000","0.0000","0.3196","0.2392","0.1647","0.0000","-0.3000","0.0000","0.3451","-0.3618","0.4775","-18.5420","0.0340","11.5956","5.0385","2.5185","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1078","0.0000","0.0000","0.0000","-0.0710","0.0000","0.5355","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3592","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.200","3.1956","5","-0.0926","0.0077","-41.9935","-55.7622","0.0000","348.1373","200.0000","0.6415","10000.0000","40.86302273","-77.83458499","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","111.8177","4225.4497","3956.1895","1.0000","26.1196","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3804","0.0000","26.3000","-1000.0000","-1000.0000","4.8793","2.0400","4.8900","4.8607","4.8600","4.8793","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8941","0.0000","0.0000","177.9000","0.0000","0.1235","-0.1529","0.0176","0.0000","-0.3000","0.0000","0.3941","-0.2147","0.1343","-18.5420","0.0340","11.5941","5.0380","2.5180","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0098","0.0000","0.0000","0.0000","0.0000","0.0000","0.4634","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3658","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.250","3.1653","5","-0.0199","0.0078","-48.2934","-53.3885","0.0000","349.4839","200.0000","0.6165","10000.0000","40.86301645","-77.83457816","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","111.8438","4225.4497","3956.1853","1.0000","26.1246","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3754","0.0000","26.3000","-1000.0000","-1000.0000","4.8758","2.0400","4.8858","4.8600","4.8600","4.8758","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.9000","0.0000","0.0000","177.8569","0.0000","0.3588","-0.0275","0.2588","-0.0863","-0.3863","0.0000","0.4000","-0.4647","0.5853","-18.5420","0.0340","11.5926","5.0375","2.5175","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1324","0.0000","0.0000","0.0000","0.0000","0.0000","0.3559","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3508","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.300","3.1327","5","0.0604","0.0077","-54.9585","-50.6066","0.0000","350.8417","200.0000","0.5915","10000.0000","40.86301004","-77.83457118","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","111.8698","4225.4497","3956.1812","1.0000","26.1295","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3705","0.0000","26.3000","-1000.0000","-1000.0000","4.8709","2.0400","4.8809","4.8600","4.8600","4.8709","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.9000","0.0000","0.0000","177.8078","0.0000","0.6529","0.1686","0.5529","-0.1843","-0.4843","0.0000","0.4000","-0.7588","1.1245","-18.5420","0.0340","11.5911","5.0370","2.5170","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2794","0.0000","0.0000","0.0000","0.0258","0.0000","0.4032","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8462","1.3446","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.350","3.1695","5","0.0363","0.0194","-59.2240","-50.2413","0.0000","351.4989","200.0000","0.5712","10000.0000","40.86300763","-77.83456729","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","111.8958","4225.4497","3956.1770","1.0000","26.1345","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3655","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8840","4.8640","4.8600","4.8740","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.8588","0.0000","0.0000","177.7177","0.0000","0.4529","0.3647","0.3529","-0.0765","-0.7882","0.0000","0.4412","-0.5471","0.7784","-18.5420","0.0340","11.5896","5.0365","2.5165","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2157","0.0000","0.0000","0.0000","0.0796","0.0000","0.6183","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8681","1.3611","3225.4497","2956.1997","3191.0999","40.8300","28.0200","19.9700","37.0000","10.0000","4.7100","0.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
